Mode,SNR_dB,sigma_A,E_top20,H_rule,corr_A_gamma_eff,corr_A_Importance
Baseline,1.0,0.0000,20.00,0.0000,0.0000,0.0000
Baseline,4.0,0.0000,20.00,0.0000,0.0000,0.0000
Baseline,7.0,0.0000,20.00,0.0000,0.0000,0.0000
Baseline,10.0,0.0000,20.00,0.0000,0.0000,0.0000
Baseline,13.0,0.0000,20.00,0.0000,0.0000,0.0000
Linear,1.0,0.0717,22.62,3.0000,0.0000,0.9241
Linear,4.0,0.0641,22.37,3.0000,0.0000,0.9242
Linear,7.0,0.0565,22.13,3.0000,0.0000,0.9242
Linear,10.0,0.0490,21.89,3.0000,0.0000,0.9243
Linear,13.0,0.0415,21.64,3.0000,0.0000,0.9243
SNR-Only,1.0,0.0000,20.00,3.0000,0.0000,0.0000
SNR-Only,4.0,0.0000,20.00,3.0000,0.0000,0.0000
SNR-Only,7.0,0.0000,20.00,3.0000,0.0000,0.0000
SNR-Only,10.0,0.0000,20.00,3.0000,0.0000,0.0000
SNR-Only,13.0,0.0000,20.00,3.0000,0.0000,0.0000
Importance-Only,1.0,0.0761,22.79,3.0000,0.0000,0.9165
Importance-Only,4.0,0.0761,22.79,3.0000,0.0000,0.9165
Importance-Only,7.0,0.0761,22.79,3.0000,0.0000,0.9165
Importance-Only,10.0,0.0761,22.79,3.0000,0.0000,0.9165
Importance-Only,13.0,0.0761,22.79,3.0000,0.0000,0.9165
Full-FIS (Ours),1.0,0.0879,23.06,3.0000,0.0000,0.9108
Full-FIS (Ours),4.0,0.0742,22.63,3.0000,0.0000,0.9110
Full-FIS (Ours),7.0,0.0620,22.25,3.0000,0.0000,0.9112
Full-FIS (Ours),10.0,0.0514,21.91,3.0000,0.0000,0.9113
Full-FIS (Ours),13.0,0.0419,21.62,3.0000,0.0000,0.9113
