Mode,SNR_dB,sigma_A,E_top20,H_rule,corr_A_gamma_eff,corr_A_Importance
Baseline,1.0,0.0000,20.00,0.0000,0.0000,0.0000
Baseline,4.0,0.0000,20.00,0.0000,0.0000,0.0000
Baseline,7.0,0.0000,20.00,0.0000,0.0000,0.0000
Baseline,10.0,0.0000,20.00,0.0000,0.0000,0.0000
Baseline,13.0,0.0000,20.00,0.0000,0.0000,0.0000
Linear,1.0,0.0704,22.54,0.0000,-0.0151,0.9039
Linear,4.0,0.0630,22.30,0.0000,-0.1658,0.9040
Linear,7.0,0.0557,22.07,0.0000,0.0140,0.9041
Linear,10.0,0.0483,21.83,0.0000,0.0592,0.9041
Linear,13.0,0.0410,21.60,0.0000,0.0711,0.9042
SNR-Only,1.0,0.0235,20.00,0.0000,0.0026,0.0000
SNR-Only,4.0,0.0206,20.00,0.0000,-0.3353,0.0000
SNR-Only,7.0,0.0158,20.00,0.0000,0.0659,0.0000
SNR-Only,10.0,0.0136,20.00,0.0000,0.1261,0.0000
SNR-Only,13.0,0.0099,20.00,0.0000,-0.0397,0.0000
Importance-Only,1.0,0.0761,22.74,0.0000,-0.3770,0.9036
Importance-Only,4.0,0.0761,22.74,0.0000,0.0094,0.9036
Importance-Only,7.0,0.0761,22.74,0.0000,0.0320,0.9036
Importance-Only,10.0,0.0761,22.74,0.0000,-0.0831,0.9036
Importance-Only,13.0,0.0761,22.74,0.0000,-0.1219,0.9036
Full-FIS (Ours),1.0,0.0966,23.21,2.3379,-0.0754,0.8652
Full-FIS (Ours),4.0,0.0819,22.71,2.3045,-0.0246,0.8640
Full-FIS (Ours),7.0,0.0682,22.33,2.2588,0.1447,0.8714
Full-FIS (Ours),10.0,0.0563,21.98,2.2344,-0.0419,0.8707
Full-FIS (Ours),13.0,0.0459,21.67,2.2082,-0.1190,0.8739
