Mode,SNR_dB,sigma_A,E_top20,H_rule,corr_A_gamma_eff,corr_A_Importance
Baseline,1.0,0.0000,20.00,0.0000,0.0000,0.0000
Baseline,4.0,0.0000,20.00,0.0000,0.0000,0.0000
Baseline,7.0,0.0000,20.00,0.0000,0.0000,0.0000
Baseline,10.0,0.0000,20.00,0.0000,0.0000,0.0000
Baseline,13.0,0.0000,20.00,0.0000,0.0000,0.0000
Linear,1.0,0.0717,22.62,0.0000,-0.1839,0.9508
Linear,4.0,0.0641,22.37,0.0000,-0.1928,0.9509
Linear,7.0,0.0566,22.13,0.0000,0.0059,0.9510
Linear,10.0,0.0491,21.88,0.0000,-0.1359,0.9510
Linear,13.0,0.0416,21.64,0.0000,0.0446,0.9510
SNR-Only,1.0,0.0223,20.00,0.0000,-0.0944,0.0000
SNR-Only,4.0,0.0199,20.00,0.0000,0.0572,0.0000
SNR-Only,7.0,0.0168,20.00,0.0000,0.0087,0.0000
SNR-Only,10.0,0.0125,20.00,0.0000,0.0551,0.0000
SNR-Only,13.0,0.0102,20.00,0.0000,-0.0293,0.0000
Importance-Only,1.0,0.0767,22.81,0.0000,-0.2476,0.9461
Importance-Only,4.0,0.0767,22.81,0.0000,0.2774,0.9461
Importance-Only,7.0,0.0767,22.81,0.0000,0.0955,0.9461
Importance-Only,10.0,0.0767,22.81,0.0000,-0.0236,0.9461
Importance-Only,13.0,0.0767,22.81,0.0000,0.2104,0.9461
Full-FIS (Ours),1.0,0.0854,22.78,2.3546,-0.3219,0.8604
Full-FIS (Ours),4.0,0.0733,22.40,2.3154,-0.1880,0.8573
Full-FIS (Ours),7.0,0.0622,22.08,2.2743,-0.2879,0.8579
Full-FIS (Ours),10.0,0.0511,21.80,2.2358,-0.3218,0.8635
Full-FIS (Ours),13.0,0.0410,21.50,2.2105,-0.1676,0.8678
