Mode,SNR_dB,sigma_A,E_top20,H_rule,corr_A_gamma_eff,corr_A_Importance
Linear,1,0.0711,51.15,2.043,-0.0592,0.8953
Linear,4,0.0636,48.97,2.043,0.0234,0.8954
Linear,7,0.0562,47.93,2.043,0.0618,0.8955
Linear,10,0.0487,46.92,2.043,0.0116,0.8955
Linear,13,0.0413,46.52,2.043,-0.0986,0.8956
SNR-Only,1,0.0000,40.36,0.544,0.0000,0.0000
SNR-Only,4,0.0000,40.36,0.544,0.0000,0.0000
SNR-Only,7,0.0000,40.36,0.544,0.0000,0.0000
SNR-Only,10,0.0000,40.36,0.544,0.0000,0.0000
SNR-Only,13,0.0000,40.36,0.544,0.0000,0.0000
Importance-Only,1,0.0764,48.47,3.169,0.1316,0.9140
Importance-Only,4,0.0764,48.47,3.169,0.0625,0.9140
Importance-Only,7,0.0764,48.47,3.169,0.2656,0.9140
Importance-Only,10,0.0764,48.47,3.169,-0.0063,0.9140
Importance-Only,13,0.0764,48.47,3.169,-0.0015,0.9140
Full-FIS (Ours),1,0.1092,57.42,3.168,0.0424,0.8489
Full-FIS (Ours),4,0.0904,55.21,3.167,0.1796,0.8511
Full-FIS (Ours),7,0.0816,53.86,3.167,-0.0635,0.8509
Full-FIS (Ours),10,0.0616,51.15,3.165,-0.0067,0.8420
Full-FIS (Ours),13,0.0499,50.06,3.165,-0.1236,0.8450
